MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"759,661.00","253,220.33","1,012,881.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"15,330,219.00","5,110,073.00","20,440,292.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"2,941,655.00","980,551.67","3,922,206.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"2,550,000.00","850,000.00","3,400,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"7,125,000.00","2,375,000.00","9,500,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"8,700,000.00","2,900,000.00","11,600,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"1,840,000.00","613,333.33","2,453,333.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"17,000,000.00","5,666,666.67","22,666,666.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"2,550,000.00","850,000.00","3,400,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"7,125,000.00","2,375,000.00","9,500,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"8,700,000.00","2,900,000.00","11,600,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"1,840,000.00","613,333.33","2,453,333.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"17,000,000.00","5,666,666.67","22,666,666.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,"118,670.00","39,556.67","158,226.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,"4,230,000.00","1,410,000.00","5,640,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,"393,912.00","131,304.00","525,216.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,"4,000,000.00","1,333,333.33","5,333,333.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,"62,610,000.00","20,870,000.00","83,480,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation","7,000,000.00","2,333,333.33","9,333,333.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation","2,400,000.00","800,000.00","3,200,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M04,Physical Investment,FA_6A,"Diversification, SMEs and job creation","375,000.00","125,000.00","500,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","8,700,000.00","2,900,000.00","11,600,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M08,Forest,FA_6A,"Diversification, SMEs and job creation","4,775,000.00","1,591,666.67","6,366,666.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"27,600,000.00","9,200,000.00","36,800,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"20,800,000.00","6,933,333.33","27,733,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"2,217,000.00","739,000.00","2,956,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"1,255,000.00","418,333.33","1,673,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"4,000,000.00","444,444.44","4,444,444.44",90%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"2,575,000.00","286,111.11","2,861,111.11",90%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"19,500,000.00","6,500,000.00","26,000,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_2A,Farm performance,"30,000.00","10,000.00","40,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"400,000.00","133,333.33","533,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"1,000,000.00","111,111.11","1,111,111.11",90%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"4,200,000.00","1,400,000.00","5,600,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,"100,000.00","33,333.33","133,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"86,000.00","28,666.67","114,666.67",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"1,200,000.00","133,333.33","1,333,333.33",90%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"975,000.00","325,000.00","1,300,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"1,912,500.00","637,500.00","2,550,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"435,000.00","145,000.00","580,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"150,000.00","50,000.00","200,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"450,000.00","150,000.00","600,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"975,000.00","325,000.00","1,300,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"1,912,500.00","637,500.00","2,550,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"435,000.00","145,000.00","580,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"150,000.00","50,000.00","200,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"450,000.00","150,000.00","600,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","400,000.00","133,333.33","533,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M07,Basic services,FA_6A,"Diversification, SMEs and job creation","1,650,000.00","550,000.00","2,200,000.00",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M08,Forest,FA_6A,"Diversification, SMEs and job creation","562,000.00","187,333.33","749,333.33",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"9,800,000.00","3,266,666.67","13,066,666.67",75%
FR,France,2014FR06RDRP006,2.1,Mayotte - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"3,180,000.00","353,333.33","3,533,333.33",90%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"2,185,937.00","2,185,937.00","4,371,874.00",50%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"9,000,000.00","9,000,000.00","18,000,000.00",50%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"500,000.00","500,000.00","1,000,000.00",50%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"7,800,000.00","1,950,000.00","9,750,000.00",80%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"4,000,000.00","4,000,000.00","8,000,000.00",50%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"1,600,000.00","1,600,000.00","3,200,000.00",50%
FR,France,2014FR06RDRP011,2,Île-de-France - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"500,000.00","500,000.00","1,000,000.00",50%
